Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, nu3, m1, m3, T1, T2, f)
admix_origin_sym_mig_adj	Round_3_Replicate_26	-1420.81	2857.62	220290.15	169.48	1.5576,0.2602,1.2442,2.184,1.5829,0.2993,1.4527,0.9421
admix_origin_sym_mig_adj	Round_3_Replicate_27	-1179.2	2374.4	39197.16	113.46	3.5507,0.5443,9.4413,0.7753,0.6195,1.0669,0.2706,0.0885
admix_origin_sym_mig_adj	Round_3_Replicate_28	-1246.96	2509.92	17514125.17	230.91	0.7263,0.1309,3.5931,3.0354,2.9918,0.5927,0.3121,0.0823
admix_origin_sym_mig_adj	Round_3_Replicate_29	-1291.28	2598.56	111824996.14	171.28	1.4798,0.0752,4.068,1.9128,4.8252,0.7433,0.4346,0.2275
admix_origin_sym_mig_adj	Round_3_Replicate_30	-960.94	1937.88	15594366213.69	172.68	4.403,0.2074,3.5689,0.4577,0.5082,0.1092,0.2068,0.9434
admix_origin_sym_mig_adj	Round_4_Replicate_1	-970.49	1956.98	4373777.55	161.4	1.0136,0.3779,8.2087,0.381,0.8459,0.0757,0.3128,0.8073
admix_origin_sym_mig_adj	Round_4_Replicate_2	-888.38	1792.76	215211801.66	123.64	2.8966,0.3019,9.1443,0.4339,0.546,0.0933,0.4376,0.6831
admix_origin_sym_mig_adj	Round_4_Replicate_3	-1025.27	2066.54	138455492.51	165.68	3.0904,0.3344,6.6557,1.376,1.1383,0.1355,0.1893,0.988
admix_origin_sym_mig_adj	Round_4_Replicate_4	-936.45	1888.9	1000289.98	163.85	1.7557,0.2814,7.8592,0.5187,1.2835,0.1388,0.2409,0.9889
admix_origin_sym_mig_adj	Round_4_Replicate_5	-989.22	1994.44	62719828.96	155.67	3.5123,0.1525,6.3211,1.3255,0.4073,0.0601,0.3176,0.6706
admix_origin_sym_mig_adj	Round_4_Replicate_6	-976.77	1969.54	30295566.28	146.14	1.9346,0.3398,4.5631,1.24,1.0967,0.1301,0.4698,0.893
admix_origin_sym_mig_adj	Round_4_Replicate_7	-927.09	1870.18	21632940.39	175.68	1.4122,0.2485,5.1916,0.5132,0.7857,0.0507,0.2877,0.9887
admix_origin_sym_mig_adj	Round_4_Replicate_8	-955.16	1926.32	228164719.72	146.21	2.6968,0.2314,7.5731,1.0363,0.5125,0.1379,0.3052,0.858
admix_origin_sym_mig_adj	Round_4_Replicate_9	-1069.33	2154.66	65680663.32	193.21	2.435,0.1739,8.3374,1.3933,0.7435,0.088,0.1422,0.9888
admix_origin_sym_mig_adj	Round_4_Replicate_10	-906.38	1828.76	1796865994.49	144.12	2.947,0.3663,5.0817,0.773,1.0566,0.0571,0.3916,0.9899
admix_origin_sym_mig_adj	Round_4_Replicate_11	-920.63	1857.26	34698733.14	175.4	1.5611,0.3714,3.9348,0.5374,1.1617,0.044,0.3255,0.4828
admix_origin_sym_mig_adj	Round_4_Replicate_12	-966.82	1949.64	184470396.97	179.03	1.2147,0.2943,8.0224,0.4716,1.0015,0.132,0.219,0.9877
