Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, nu3, m1, m2, T1, T2)
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_30	-959.58	1933.16	983718.88	200.24	1.563,2.8107,0.3737,3.8736,0.328,0.2486,0.014
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_1	-863.08	1740.16	167072546.64	114.05	8.157,6.3118,0.8195,0.5813,0.2565,0.4564,0.0445
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_2	-833.39	1680.78	57909191.08	121.21	5.5549,5.3412,0.8181,0.859,0.6098,0.4261,0.0762
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_3	-793.25	1600.5	6442994.83	97.79	5.3488,8.298,0.7147,0.2868,0.311,0.5584,0.124
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_4	-866.82	1747.64	779001924.74	112.64	8.0305,5.995,0.9832,0.8024,0.214,0.4189,0.0974
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_5	-807.25	1628.5	43421582.27	81.68	5.8042,11.6752,0.5811,0.3295,0.2099,0.6335,0.2252
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_6	-838.16	1690.32	50930119.38	102.28	5.137,8.2519,0.4074,0.629,0.2513,0.5583,0.091
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_7	-836.78	1687.56	6977175.01	124.82	3.7545,7.3972,0.6239,0.3749,0.1722,0.4045,0.0462
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_8	-961.63	1937.26	55185242077.81	119.89	12.3804,7.7392,0.9512,0.3971,0.2924,0.3398,0.0597
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_9	-946.91	1907.82	4190166.48	138.18	6.2646,3.0753,0.9224,0.4046,0.3935,0.3164,0.1403
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_10	-835.78	1685.56	7602012.17	96.42	7.7616,6.6127,0.923,0.4972,0.2791,0.645,0.0574
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_11	-819.36	1652.72	4690054.61	113.64	3.8711,5.1496,0.9524,0.792,0.2504,0.5029,0.1377
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_12	-820.99	1655.98	6224577.42	115.85	4.4461,7.7125,0.623,0.222,0.5362,0.4613,0.0478
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_13	-796.8	1607.6	9328999.77	93.59	4.7956,10.3001,0.8797,0.3917,0.2196,0.5716,0.1141
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_14	-851.81	1717.62	188899.85	110.67	4.3738,4.562,0.6092,0.5203,0.5467,0.659,0.0887
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_15	-826.03	1666.06	2407856.63	128.42	3.9321,5.4808,0.6459,0.3587,0.3858,0.4053,0.072
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_16	-792.55	1599.1	13224029.42	89.77	6.9474,7.8294,1.0061,0.4134,0.3412,0.6444,0.1283
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_17	-865.17	1744.34	259082875.69	135.15	6.5504,5.4554,0.4857,0.3523,0.2873,0.3364,0.0567
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_18	-799.38	1612.76	21910225.34	90.28	6.8227,9.7624,0.7331,0.2916,0.5962,0.6364,0.0827
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_19	-867.73	1749.46	948563.39	143.61	3.4529,4.0237,0.4282,0.3483,0.246,0.3522,0.0996
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_20	-800.48	1614.96	8627508.22	102.49	4.5229,8.9784,0.6732,0.2621,0.4359,0.4623,0.1622
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_21	-816.0	1646.0	239781782.58	93.4	6.7794,10.6415,0.4914,0.2912,0.4101,0.5061,0.1645
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_22	-930.01	1874.02	13863914.77	131.84	7.2189,3.9009,0.8421,0.7871,0.2334,0.4143,0.0357
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_23	-785.67	1585.34	8751254.72	96.92	4.6484,8.9103,0.7089,0.5831,0.4616,0.6037,0.0928
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_24	-914.71	1843.42	957758.21	155.16	3.0654,3.1932,0.7605,0.8817,0.176,0.3361,0.0671
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_25	-789.62	1593.24	8475321.84	91.97	5.5881,9.2999,0.7052,0.3574,0.4422,0.6321,0.1036
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_26	-918.22	1850.44	25835888.92	127.55	8.1834,4.558,0.5031,0.246,0.2098,0.4223,0.0423
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_27	-808.11	1630.22	20636735.84	108.12	3.8669,8.4087,0.6273,0.7978,0.1931,0.5013,0.0859
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_28	-920.6	1855.2	164846853340.91	113.29	10.8534,8.697,0.7834,0.9143,0.4773,0.3684,0.0726
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_29	-814.89	1643.78	42280886.24	121.11	5.064,5.7503,0.433,0.5494,0.5096,0.4157,0.1105
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_30	-863.29	1740.58	135980175.38	149.52	4.4747,5.3646,0.3582,0.3224,0.3354,0.2839,0.0562
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_31	-811.99	1637.98	170366123.18	105.72	7.0059,6.5423,0.8134,0.5062,0.313,0.4362,0.1608
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_32	-806.52	1627.04	9658466.55	114.93	4.0317,7.8264,0.5268,0.5625,0.4438,0.4738,0.0582
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_33	-864.93	1743.86	6075799951.62	119.59	6.2542,8.5046,0.4545,0.897,0.1914,0.3732,0.0664
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_34	-872.56	1759.12	5515373.45	136.23	4.4025,5.1024,0.7387,0.2807,0.2132,0.3667,0.0454
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_35	-925.83	1865.66	2187728.98	106.97	7.9759,3.8761,0.4262,0.5037,0.3479,0.6386,0.1267
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_36	-914.43	1842.86	28019369.06	141.09	5.7632,3.239,0.762,0.6463,0.1938,0.2846,0.1531
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_37	-834.18	1682.36	14066211.19	121.08	4.433,7.6857,0.7139,0.3796,0.5383,0.4286,0.0285
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_38	-930.52	1875.04	9991803.36	119.29	9.822,8.7805,0.8757,0.7225,0.4506,0.3069,0.0923
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_39	-861.14	1736.28	158519821.25	130.39	4.3986,8.2795,0.3699,0.2863,0.3146,0.3583,0.0366
sim_split_refugia_sym_mig_adjacent	Round_4_Replicate_40	-884.67	1783.34	372073153.26	119.4	6.2625,7.2851,1.0641,0.5478,0.1861,0.3764,0.0641
