Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, mA, m1, m2, T1, T2)
split_symmig_adjacent	Round_3_Replicate_19	-912.33	1842.66	15508997.06	110.65	4.9251,0.8783,3.365,0.957,6.4312,0.6517,0.1064,0.1458,0.7175
split_symmig_adjacent	Round_3_Replicate_20	-1008.01	2034.02	18296.59	57.4	3.2607,0.7749,9.2928,0.7299,0.9195,0.1875,0.1677,0.1787,2.7768
split_symmig_adjacent	Round_3_Replicate_21	-998.32	2014.64	146478.74	107.05	1.0615,1.8173,7.2276,0.6913,1.7322,0.653,0.2685,0.1006,0.9311
split_symmig_adjacent	Round_3_Replicate_22	-987.88	1993.76	17220779.24	62.47	5.7323,3.5925,6.267,1.3223,2.1531,1.5396,0.1202,0.0456,2.0905
split_symmig_adjacent	Round_3_Replicate_23	-1017.95	2053.9	3781702.03	47.85	1.9418,1.0158,16.9955,2.2211,2.8717,0.5109,0.0643,0.0511,2.9918
split_symmig_adjacent	Round_3_Replicate_24	-1204.86	2427.72	1125520.45	70.8	7.543,2.5888,2.7301,1.18,0.8381,0.4531,0.0842,0.0412,2.4548
split_symmig_adjacent	Round_3_Replicate_25	-1684.65	3387.3	5524.33	63.44	0.6337,1.2468,9.0206,0.8299,0.5013,0.1988,0.1032,0.0545,3.9194
split_symmig_adjacent	Round_3_Replicate_26	-847.96	1713.92	401628.52	69.75	4.4817,0.4959,10.4163,0.9602,0.6226,0.7717,0.0676,0.0863,1.3047
split_symmig_adjacent	Round_3_Replicate_27	-1272.8	2563.6	109312.06	83.26	0.5867,3.5316,11.5654,1.9664,0.9423,0.7191,0.0643,0.196,1.2537
split_symmig_adjacent	Round_3_Replicate_28	-1166.84	2351.68	15107.87	102.67	1.3501,1.7099,4.0507,0.7344,0.8894,0.4214,0.0735,0.2756,1.5279
split_symmig_adjacent	Round_3_Replicate_29	-985.7	1989.4	95412654.86	96.85	1.9411,1.027,8.5168,2.3314,5.3816,1.0053,0.0264,0.3964,0.6533
split_symmig_adjacent	Round_3_Replicate_30	-853.75	1725.5	150362.8	98.55	2.7528,0.2594,10.4823,0.889,4.7152,0.2586,0.0958,0.1919,0.6868
split_symmig_adjacent	Round_4_Replicate_1	-837.3	1692.6	523268.83	82.81	8.1603,0.5881,9.271,1.3901,0.9193,0.1951,0.0471,0.1558,0.7298
split_symmig_adjacent	Round_4_Replicate_2	-848.89	1715.78	669835.86	53.4	6.6957,0.6661,9.7029,1.3364,0.4827,0.1962,0.064,0.1728,2.0831
split_symmig_adjacent	Round_4_Replicate_3	-930.02	1878.04	4145369.42	54.57	7.9831,0.5682,12.6472,0.4948,1.3479,0.1508,0.0928,0.0969,1.7639
split_symmig_adjacent	Round_4_Replicate_4	-854.63	1727.26	34628507.4	48.44	8.5267,0.9889,13.7135,0.7516,1.0319,0.2088,0.1006,0.1001,2.0712
